repo	file	category	confidence	methods
elasticsearch	x-pack/plugin/eql/src/main/java/org/elasticsearch/xpack/eql/parser/EqlParser.java	Column / parameter mask	medium	
elasticsearch	x-pack/plugin/esql-datasource-ndjson/src/main/java/org/elasticsearch/xpack/esql/datasource/ndjson/NdJsonPageDecoder.java	Null / dirty tracking	high	BitSet(int); get(int); set(int); clear(); size()
elasticsearch	x-pack/plugin/esql-datasource-ndjson/src/main/java/org/elasticsearch/xpack/esql/datasource/ndjson/NdJsonSchemaInferrer.java	Null / dirty tracking	high	BitSet(); get(int); set(int); clear()
elasticsearch	x-pack/plugin/esql-datasource-orc/src/main/java/org/elasticsearch/xpack/esql/datasource/orc/OrcFormatReader.java	Null / dirty tracking	high	BitSet(int); set(int)
elasticsearch	x-pack/plugin/esql/arrow/src/main/java/org/elasticsearch/xpack/esql/arrow/BlockConverter.java	Null / dirty tracking	high	BitSet(); BitSet(int); set(int); toByteArray()
elasticsearch	x-pack/plugin/esql/compute/src/main/java/org/elasticsearch/compute/data/AbstractArrayBlock.java	Null / dirty tracking	high	BitSet(int); get(int); set(int); nextSetBit(); isEmpty(); cardinality(); size(); toLongArray(); valueOf(...)
elasticsearch	x-pack/plugin/esql/compute/src/main/java/org/elasticsearch/compute/data/AbstractBlockBuilder.java	Null / dirty tracking	high	BitSet(); set(int)
elasticsearch	x-pack/plugin/esql/compute/src/main/java/org/elasticsearch/compute/data/BlockFactory.java	Null / dirty tracking	high	
elasticsearch	x-pack/plugin/esql/compute/src/main/java/org/elasticsearch/compute/data/BlockRamUsageEstimator.java	Null / dirty tracking	high	size()
elasticsearch	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/analysis/Analyzer.java	Column / parameter mask	medium	BitSet(int); set(int)
elasticsearch	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/analysis/Verifier.java	Column / parameter mask	medium	nextSetBit()
elasticsearch	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/core/tree/NodeToString.java	Indexing / record tracking	medium	BitSet(); get(int); set(from,to); size()
elasticsearch	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/datasources/spi/ColumnBlockConversions.java	Null / dirty tracking	high	BitSet(int); set(int)
elasticsearch	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/expression/predicate/operator/comparison/In.java	Column / parameter mask	medium	get(int)
elasticsearch	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlParser.java	Column / parameter mask	medium	BitSet(int); get(int); set(int); cardinality()
elasticsearch	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/PromqlParser.java	Column / parameter mask	medium	
elasticsearch	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/telemetry/FeatureMetric.java	Flag / feature storage	high	set(int)
elasticsearch	x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/aggs/frequentitemsets/CountingItemSetTraverser.java	Indexing / record tracking	medium	BitSet(); BitSet(int); get(int); set(int); clear(int)
elasticsearch	x-pack/plugin/old-lucene-versions/src/main/java/org/elasticsearch/xpack/lucene/bwc/codecs/lucene70/fst/Util.java	Indexing / record tracking	medium	BitSet(); get(int); set(int)
elasticsearch	x-pack/plugin/ql/src/main/java/org/elasticsearch/xpack/ql/tree/Node.java	Indexing / record tracking	medium	BitSet(); get(int); set(from,to); size(); toString()
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/analysis/analyzer/Verifier.java	Indexing / record tracking	medium	BitSet(int); set(int); nextSetBit()
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/CompositeAggCursor.java	Column / parameter mask	high	toByteArray(); valueOf(...)
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/CompositeAggRowSet.java	Column / parameter mask	high	
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/PivotCursor.java	Column / parameter mask	high	
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/PivotRowSet.java	Column / parameter mask	high	
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/Querier.java	Column / parameter mask	high	nextSetBit(); cardinality()
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/ResultRowSet.java	Column / parameter mask	high	nextSetBit(); cardinality(); size(); length()
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/SchemaCompositeAggRowSet.java	Column / parameter mask	high	
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/SchemaSearchHitRowSet.java	Column / parameter mask	high	
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/SearchHitCursor.java	Column / parameter mask	high	toByteArray(); valueOf(...)
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/execution/search/SearchHitRowSet.java	Column / parameter mask	high	
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/parser/SqlParser.java	Column / parameter mask	high	
elasticsearch	x-pack/plugin/sql/src/main/java/org/elasticsearch/xpack/sql/querydsl/container/QueryContainer.java	Column / parameter mask	high	BitSet(int); get(int); set(int); size(); equals()
elasticsearch	x-pack/plugin/text-structure/src/main/java/org/elasticsearch/xpack/textstructure/structurefinder/DelimitedTextStructureFinder.java	Character class / lexer	high	BitSet(); set(int); set(from,to); nextSetBit()
elasticsearch	x-pack/plugin/text-structure/src/main/java/org/elasticsearch/xpack/textstructure/structurefinder/TimestampFormatFinder.java	Character class / lexer	high	BitSet(); get(int); set(int); isEmpty(); cardinality(); length(); stream()
flink	flink-runtime/src/main/java/org/apache/flink/runtime/checkpoint/DefaultCheckpointPlanCalculator.java	Flag / feature storage	high	BitSet(int); get(int); set(int); cardinality(); size()
flink	flink-runtime/src/main/java/org/apache/flink/runtime/checkpoint/RescaleMappings.java	Flag / feature storage	high	BitSet(int); get(int); set(int)
flink	flink-runtime/src/main/java/org/apache/flink/runtime/checkpoint/RoundRobinOperatorStateRepartitioner.java	Flag / feature storage	high	BitSet(int); set(int); cardinality()
flink	flink-runtime/src/main/java/org/apache/flink/runtime/io/network/partition/consumer/SingleInputGate.java	Flag / feature storage	high	BitSet(int); get(int); set(int); clear(int); nextClearBit(); cardinality()
flink	flink-runtime/src/main/java/org/apache/flink/runtime/scheduler/VertexEndOfDataListener.java	Flag / feature storage	high	BitSet(); get(int); set(int); cardinality()
flink	flink-runtime/src/main/java/org/apache/flink/streaming/runtime/watermark/AlignedWatermarkCombiner.java	Flag / feature storage	high	BitSet(int); set(int); clear(); cardinality()
flink	flink-runtime/src/main/java/org/apache/flink/streaming/runtime/watermark/BoolWatermarkCombiner.java	Flag / feature storage	high	BitSet(int); set(int); set(from,to); clear(from,to); cardinality()
flink	flink-runtime/src/main/java/org/apache/flink/streaming/runtime/watermark/LongWatermarkCombiner.java	Flag / feature storage	high	BitSet(int); set(int); cardinality()
flink	flink-runtime/src/main/java/org/apache/flink/streaming/runtime/watermark/extension/eventtime/EventTimeWatermarkHandler.java	Flag / feature storage	high	BitSet(int); set(int); cardinality()
flink	flink-streaming-java/src/main/java/org/apache/flink/streaming/util/serialize/FlinkChillPackageRegistrar.java	Serialization / wire protocol	medium	
flink	flink-table/flink-table-common/src/main/java/org/apache/flink/table/utils/PartitionPathUtils.java	Column / parameter mask	medium	BitSet(int); get(int); set(int); size()
flink	flink-table/flink-table-planner/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java	Query optimization	high	get(int); set(int); nextSetBit(); cardinality()
flink	flink-table/flink-table-planner/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java	Query optimization	high	BitSet(); set(int)
flink	flink-table/flink-table-planner/src/main/java/org/apache/flink/table/planner/plan/rules/logical/FlinkAggregateJoinTransposeRule.java	Query optimization	high	BitSet(); get(int); set(int)
flink	flink-table/flink-table-runtime/src/main/java/org/apache/flink/table/data/UpdatableRowData.java	Column / parameter mask	high	BitSet(int); get(int); set(int)
flink	flink-table/flink-table-runtime/src/main/java/org/apache/flink/table/runtime/operators/join/SortMergeJoinFunction.java	Column / parameter mask	high	BitSet(); get(int); set(int); clear()
flink	flink-table/flink-table-runtime/src/main/java/org/apache/flink/table/runtime/operators/sink/constraint/BinaryLengthConstraint.java	Column / parameter mask	high	get(int)
flink	flink-table/flink-table-runtime/src/main/java/org/apache/flink/table/runtime/operators/sink/constraint/CharLengthConstraint.java	Column / parameter mask	high	get(int)
flink	flink-table/flink-table-runtime/src/main/java/org/apache/flink/table/runtime/operators/sink/constraint/ConstraintEnforcerExecutor.java	Column / parameter mask	high	BitSet(int); set(int); size()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/core/common/alloc/BasicBlockOrderUtils.java	Dataflow / liveness	high	BitSet(int); get(int); set(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/core/common/alloc/DefaultCodeEmissionOrder.java	Dataflow / liveness	high	BitSet(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/core/common/alloc/LinearScanOrder.java	Dataflow / liveness	high	BitSet(int); clear(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/core/common/cfg/BasicBlockSet.java	Dataflow / liveness	high	BitSet(int); get(int); set(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/core/common/cfg/DominatorOptimizationProblem.java	Dataflow / liveness	high	BitSet(int); get(int); set(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/core/common/util/BitMap2D.java	Dataflow / liveness	low	BitSet(int); get(from,to); set(from,to); clear()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/HotSpotForeignCallLinkage.java	Serialization / wire protocol	medium	BitSet(); set(int); nextSetBit(); cardinality(); toLongArray(); valueOf(...)
graal	visualizer/IdealGraphVisualizer/Data/src/main/java/org/graalvm/visualizer/data/serialization/lazy/LazyGraph.java	Dataflow / liveness	low	get(int); isEmpty(); nextSetBit()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/HotSpotReplacementsImpl.java	Column / parameter mask	high	
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/SymbolicSnippetEncoder.java	Column / parameter mask	low	
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/hotspot/aarch64/AArch64HotSpotRegisterAllocationConfig.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); clear(int); size()
